Latitude,Longitude
19.075960,72.87764
19.075950,72.87765
19.075640,72.87814
19.075590,72.8782
19.075460,72.87842
19.075370,72.87857
19.075230,72.87887
19.075100,72.87918
19.075020,72.87942
19.075020,72.87942
19.074830,72.87961
19.074540,72.88004
19.074240,72.88051
19.074010,72.88083
19.073900,72.88098
19.073790,72.88116
19.073760,72.88126
19.073720,72.88137
19.073680,72.88154
19.073640,72.8817
19.073620,72.88191
19.073600,72.88232
19.073590,72.88249
19.073580,72.88267
19.073550,72.88281
19.073520,72.88296
19.073440,72.88317
19.073360,72.88333
19.073290,72.88349
19.073150,72.88369
19.072920,72.88397
19.072680,72.88422
19.071840,72.8851
19.070630,72.88612
19.070230,72.88645
19.069830,72.88679
19.068980,72.88749
19.068020,72.88828
19.067670,72.88856
19.067520,72.88872
19.067370,72.88888
19.067190,72.88907
19.066610,72.88971
19.066540,72.8898
19.066470,72.8899
19.066410,72.88998
19.066350,72.89009
19.066310,72.89019
19.066240,72.89035
19.066200,72.89052
19.064930,72.89533
19.064760,72.89589
19.064660,72.89629
19.064630,72.89651
19.064610,72.89671
19.064610,72.89689
19.064630,72.89705
19.064660,72.89724
19.064710,72.89742
19.064770,72.89758
19.064850,72.89774
19.065450,72.89865
19.065600,72.89891
19.065750,72.89918
19.065990,72.89959
19.066100,72.89977
19.067120,72.9013
19.067670,72.90231
19.068550,72.90357
19.068580,72.90363
19.068600,72.90367
19.068620,72.90371
19.068630,72.90374
19.068630,72.90377
19.068640,72.90388
19.069480,72.90512
19.070780,72.90709
19.070780,72.90709
19.070870,72.90722
19.070740,72.90733
19.070640,72.90742
19.070580,72.90749
19.070530,72.90756
19.070490,72.90766
19.070440,72.90777
19.070390,72.90791
19.070240,72.90832
19.070130,72.90849
19.070020,72.90864
19.069930,72.90875
19.069810,72.90887
19.069700,72.90898
19.069560,72.90911
19.069420,72.90922
19.069270,72.90933
19.069150,72.9094
19.069000,72.90949
19.068850,72.90956
19.068690,72.90964
19.068520,72.9097
19.068340,72.90975
19.068170,72.90979
19.067940,72.90983
19.067920,72.90983
19.067920,72.90983
19.067350,72.90989
19.067090,72.90992
19.066870,72.90994
19.066700,72.90997
19.066540,72.91
19.066360,72.91004
19.066160,72.91012
19.065920,72.91024
19.065740,72.91034
19.065540,72.91048
19.065380,72.9106
19.065230,72.91073
19.064790,72.91113
19.064560,72.91142
19.064130,72.91202
19.064080,72.9121
19.064010,72.91223
19.063930,72.91237
19.063870,72.91252
19.063810,72.91268
19.063760,72.91283
19.063660,72.91312
19.063550,72.9135
19.063400,72.91404
19.063310,72.91443
19.063280,72.9145
19.063260,72.9146
19.063250,72.91467
19.063090,72.91525
19.063030,72.91548
19.062900,72.91597
19.062810,72.91621
19.062730,72.91641
19.062640,72.91659
19.062630,72.91661
19.062220,72.91759
19.062020,72.91809
19.061410,72.91956
19.061220,72.91998
19.059940,72.92252
19.059320,72.92368
19.059280,72.92375
19.059160,72.92397
19.057540,72.92715
19.056930,72.92833
19.056840,72.92852
19.056740,72.92877
19.056700,72.9289
19.056670,72.92904
19.056660,72.92907
19.056640,72.92921
19.056510,72.93018
19.056400,72.93109
19.056390,72.93116
19.056380,72.93125
19.056340,72.93143
19.056290,72.93162
19.056240,72.93183
19.056190,72.93197
19.056170,72.93202
19.056150,72.93208
19.056080,72.93223
19.056020,72.93237
19.055920,72.93255
19.055900,72.93259
19.055850,72.93268
19.055790,72.93279
19.055630,72.93305
19.055570,72.93314
19.055520,72.93322
19.055460,72.9333
19.055210,72.93363
19.055060,72.93382
19.054930,72.93401
19.054890,72.93405
19.054790,72.93418
19.054670,72.93431
19.054560,72.93442
19.054260,72.93471
19.054190,72.93476
19.053900,72.93502
19.053660,72.93522
19.053420,72.9354
19.053260,72.93552
19.053200,72.93556
19.052740,72.9359
19.051640,72.93663
19.051570,72.93667
19.051300,72.93681
19.051300,72.93681
19.051350,72.93691
19.052120,72.93902
19.052760,72.94074
19.052800,72.94087
19.052830,72.94098
19.052830,72.94099
19.052920,72.94137
19.052920,72.94137
19.054590,72.94595
19.054920,72.94691
19.057990,72.95551
19.058160,72.95598
19.058230,72.95616
19.058370,72.95654
19.058400,72.95666
19.058450,72.95679
19.058530,72.95705
19.058590,72.95728
19.058650,72.95749
19.058670,72.95761
19.058670,72.95761
19.058690,72.95771
19.058720,72.95784
19.058750,72.95801
19.058820,72.95838
19.058930,72.95893
19.059010,72.95925
19.059110,72.95972
19.059150,72.95989
19.059320,72.96064
19.059410,72.96107
19.059880,72.96321
19.060190,72.96466
19.060480,72.9658
19.061060,72.96829
19.061410,72.9698
19.061470,72.97
19.061940,72.97205
19.062090,72.97271
19.062350,72.97376
19.063050,72.97662
19.063420,72.97813
19.063610,72.97867
19.063650,72.97877
19.063890,72.97928
19.063940,72.97938
19.064100,72.97976
19.064360,72.9803
19.064760,72.98118
19.065060,72.9817
19.065250,72.98195
19.065420,72.98213
19.065860,72.98261
19.066320,72.98308
19.066720,72.9835
19.067200,72.984
19.067580,72.98437
19.067980,72.9848
19.068080,72.9849
19.068260,72.98508
19.068680,72.98543
19.068800,72.98555
19.068860,72.98563
19.068920,72.9857
19.069030,72.98585
19.069110,72.98598
19.069200,72.98615
19.069270,72.98628
19.069290,72.98632
19.069330,72.98641
19.069390,72.98656
19.069450,72.98669
19.069500,72.98685
19.069530,72.98699
19.069550,72.98707
19.069570,72.98715
19.069590,72.98729
19.069600,72.98743
19.069600,72.98763
19.069580,72.98782
19.069570,72.98791
19.069550,72.98803
19.069450,72.98941
19.069380,72.99027
19.069240,72.9918
19.069160,72.99245
19.069140,72.9926
19.069120,72.99273
19.069090,72.993
19.069000,72.99383
19.068770,72.99683
19.068530,72.99967
19.068500,73.00004
19.068460,73.00054
19.068430,73.00101
19.068340,73.00173
19.068300,73.00227
19.068260,73.00281
19.068130,73.00456
19.068100,73.00482
19.068050,73.00536
19.068020,73.00572
19.068010,73.00593
19.067910,73.00789
19.067850,73.00882
19.067830,73.00906
19.067810,73.00929
19.067720,73.01055
19.067590,73.01228
19.067300,73.01571
19.067240,73.0165
19.067150,73.01748
19.067080,73.01822
19.067040,73.01903
19.067020,73.01933
19.066990,73.01954
19.066950,73.01966
19.066890,73.01976
19.066820,73.01984
19.066790,73.01988
19.066740,73.01991
19.066680,73.01995
19.066620,73.01998
19.066530,73.02
19.066380,73.02001
19.065300,73.01995
19.065210,73.01993
19.065160,73.01992
19.065100,73.01989
19.065060,73.01986
19.064980,73.01979
19.064880,73.01969
19.064800,73.01962
19.064720,73.01956
19.064640,73.01951
19.064540,73.01948
19.064420,73.01945
19.063950,73.01937
19.063700,73.01935
19.063580,73.01933
19.063420,73.0193
19.062860,73.01928
19.061940,73.01928
19.061450,73.01926
19.060770,73.01924
19.060440,73.01924
19.059570,73.01928
19.057320,73.01943
19.054440,73.01951
19.053610,73.01951
19.053460,73.01952
19.053270,73.01955
19.053050,73.01962
19.052860,73.01968
19.052720,73.01974
19.052600,73.0198
19.052470,73.01988
19.052330,73.01997
19.052210,73.02006
19.052060,73.0202
19.051830,73.02039
19.051610,73.02059
19.051470,73.02071
19.051340,73.02083
19.051010,73.02112
19.050160,73.02187
19.050060,73.02196
19.048340,73.02349
19.047770,73.02396
19.047210,73.02446
19.046870,73.02479
19.046780,73.02487
19.046690,73.02495
19.046320,73.02526
19.045430,73.02604
19.044600,73.02673
19.044260,73.02705
19.043930,73.02736
19.043670,73.02758
19.043380,73.02784
19.043110,73.02806
19.042840,73.02824
19.042570,73.02837
19.042350,73.02846
19.042150,73.02852
19.041950,73.02856
19.041490,73.02862
19.040990,73.02868
19.040120,73.02879
19.038640,73.02898
19.038480,73.029
19.038330,73.02902
19.037420,73.02915
19.037270,73.02917
19.035220,73.02946
19.031590,73.02997
19.030970,73.03006
19.030710,73.03011
19.030560,73.03015
19.030430,73.03021
19.030210,73.03032
19.030140,73.03038
19.030070,73.03044
19.030020,73.03049
19.029960,73.03056
19.029840,73.03075
19.029810,73.0308
19.029790,73.03087
19.029740,73.03111
19.029740,73.03129
19.029760,73.03146
19.029850,73.0318
19.029900,73.03201
19.029970,73.03232
19.029980,73.03236
19.029990,73.03255
19.029990,73.03267
19.030000,73.03269
19.030000,73.03286
19.029970,73.03304
19.029930,73.03318
19.029880,73.03333
19.029740,73.03358
19.029730,73.03361
19.029650,73.03371
19.029530,73.03382
19.029400,73.03395
19.028950,73.03437
19.028310,73.03508
19.027770,73.03568
19.026610,73.03701
19.026450,73.0372
19.026290,73.03739
19.025940,73.03783
19.025720,73.03811
19.025520,73.03838
19.025080,73.03893
19.024430,73.03973
19.024260,73.03996
19.024180,73.04008
19.024050,73.04027
19.023970,73.04041
19.023890,73.04054
19.023770,73.04078
19.023710,73.04095
19.023660,73.04112
19.023620,73.04132
19.023330,73.04318
19.023270,73.04359
19.023220,73.04389
19.023180,73.04411
19.023130,73.0443
19.023090,73.04452
19.022980,73.04518
19.022710,73.04675
19.022630,73.04731
19.022590,73.04754
19.022430,73.04869
19.022360,73.04921
19.022340,73.04964
19.022360,73.04989
19.022380,73.05006
19.022430,73.05038
19.022520,73.05071
19.022640,73.05108
19.022780,73.05139
19.022920,73.0517
19.023110,73.05208
19.023390,73.05262
19.023620,73.05303
19.024060,73.05387
19.024300,73.05426
19.026080,73.05686
19.026610,73.05766
19.026740,73.05787
19.026770,73.05792
19.026770,73.05793
19.026920,73.05817
19.026940,73.05821
19.027360,73.05882
19.027400,73.05887
19.028640,73.06066
19.029010,73.06119
19.029380,73.06173
19.029960,73.0626
19.030980,73.06406
19.031100,73.06424
19.032010,73.06564
19.032210,73.06592
19.032400,73.0662
19.033020,73.0671
19.034480,73.06921
19.034970,73.06994
19.035160,73.07021
19.035870,73.07125
19.036010,73.07144
19.036720,73.07244
19.036720,73.07244
19.037000,73.07285
19.037300,73.07328
19.037500,73.07356
19.037620,73.07374
19.037900,73.07415
19.038060,73.07441
19.038140,73.07456
19.038200,73.07468
19.038290,73.07491
19.038340,73.07503
19.038410,73.07521
19.038450,73.07539
19.038470,73.07551
19.038510,73.07567
19.038520,73.07581
19.038530,73.0761
19.038510,73.0764
19.038480,73.07656
19.038440,73.07676
19.038280,73.0773
19.038160,73.07759
19.038070,73.07776
19.037650,73.07843
19.037410,73.07877
19.037080,73.07922
19.036360,73.08012
19.035540,73.08119
19.035120,73.08176
19.034780,73.08224
19.034710,73.08235
19.034580,73.08254
19.034360,73.08283
19.033860,73.08353
19.033760,73.08362
19.033670,73.08374
19.033420,73.08415
19.033100,73.08466
19.032990,73.08485
19.032730,73.08529
19.032270,73.08599
19.031940,73.08647
19.031210,73.08758
19.031140,73.0877
19.030970,73.08804
19.030670,73.08858
19.030610,73.08874
19.030360,73.08909
19.028780,73.09121
19.028360,73.09179
19.027400,73.09329
19.026140,73.09509
19.025350,73.09619
19.024860,73.09689
19.023960,73.09815
19.023510,73.09881
19.022490,73.1002
19.021460,73.1016
19.021000,73.10232
19.020810,73.10255
19.020150,73.10349
19.019240,73.10478
19.018670,73.10561
19.018540,73.10583
19.018440,73.10601
19.018300,73.10628
19.018170,73.10656
19.018020,73.10687
19.017850,73.10731
19.017510,73.1082
19.017280,73.10882
19.017120,73.10923
19.017000,73.10951
19.016900,73.10975
19.016800,73.10995
19.016720,73.1101
19.016580,73.11038
19.016570,73.11041
19.016520,73.11048
19.016480,73.11055
19.016030,73.11135
19.015600,73.11208
19.015470,73.1123
19.014680,73.11367
19.014400,73.11418
19.014350,73.11426
19.014300,73.11434
19.014200,73.1145
19.014110,73.11466
19.014060,73.11474
19.013890,73.115
19.013520,73.11564
19.013150,73.11627
19.012560,73.11724
19.011980,73.1182
19.011870,73.11836
19.011760,73.11851
19.011610,73.11874
19.011440,73.11897
19.011260,73.11918
19.010950,73.11956
19.010480,73.12005
19.010200,73.12032
19.010050,73.12047
19.009900,73.12061
19.009560,73.12094
19.009220,73.12129
19.008380,73.12214
19.007450,73.12308
19.006300,73.12426
19.005750,73.1248
19.005130,73.12543
19.004910,73.12565
19.004490,73.12605
19.004220,73.12633
19.003990,73.12656
19.003630,73.12692
19.003560,73.12701
19.003310,73.12726
19.002910,73.12766
19.002450,73.12812
19.002000,73.12857
19.001370,73.12922
19.000990,73.12961
19.000850,73.12976
19.000730,73.12987
19.000530,73.13006
19.000420,73.13014
19.000170,73.13034
19.000000,73.13045
18.999890,73.13052
18.999690,73.13063
18.999530,73.13072
18.999180,73.13088
18.998850,73.13102
18.998750,73.13106
18.998580,73.13113
18.998310,73.13125
18.998140,73.13133
18.997950,73.13143
18.997800,73.13152
18.997730,73.13157
18.997640,73.13164
18.997410,73.13181
18.997230,73.13196
18.997140,73.13204
18.997050,73.13212
18.996950,73.13221
18.996920,73.13225
18.996630,73.1326
18.996450,73.13282
18.995830,73.13355
18.995470,73.13395
18.995130,73.13434
18.994830,73.13467
18.994280,73.13533
18.993590,73.13614
18.993200,73.13663
18.992910,73.13696
18.992460,73.1375
18.992150,73.13785
18.991810,73.13823
18.991670,73.13837
18.991320,73.13873
18.990910,73.13908
18.989230,73.14057
18.988190,73.1415
18.987950,73.14172
18.987670,73.14197
18.987350,73.14226
18.986700,73.14286
18.986050,73.14345
18.985470,73.14397
18.984840,73.14454
18.984810,73.14457
18.984470,73.14488
18.984150,73.14518
18.983870,73.14543
18.983470,73.14579
18.982900,73.14631
18.982100,73.14704
18.981910,73.14721
18.981730,73.14737
18.980800,73.14823
18.980100,73.14887
18.979880,73.14908
18.978460,73.15036
18.977630,73.15112
18.976890,73.15179
18.974400,73.15404
18.973030,73.15526
18.970360,73.15768
18.969690,73.15831
18.969500,73.15845
18.969420,73.1585
18.968830,73.15894
18.968690,73.15904
18.968320,73.15925
18.968040,73.15939
18.967680,73.15951
18.967650,73.15952
18.967630,73.15952
18.967530,73.15956
18.966980,73.1597
18.966460,73.15974
18.966000,73.15974
18.965440,73.15967
18.964790,73.15952
18.964490,73.15942
18.963420,73.15901
18.962010,73.15846
18.960490,73.15789
18.958430,73.15709
18.957650,73.1568
18.957520,73.15675
18.957500,73.15674
18.957490,73.15674
18.957470,73.15673
18.957420,73.15672
18.957110,73.15661
18.956900,73.15653
18.956790,73.15649
18.956330,73.15631
18.955450,73.15599
18.954840,73.15576
18.953810,73.15535
18.953060,73.15509
18.953040,73.15508
18.952900,73.15503
18.952890,73.15503
18.952760,73.15499
18.952260,73.15487
18.951630,73.15477
18.951140,73.15471
18.950630,73.15471
18.950240,73.15473
18.949880,73.15479
18.949560,73.15484
18.948260,73.1552
18.947670,73.15535
18.945080,73.15611
18.943750,73.15645
18.942070,73.15692
18.942010,73.15694
18.941890,73.15697
18.941860,73.15698
18.941770,73.15701
18.938740,73.15786
18.938510,73.15793
18.937410,73.15825
18.936070,73.15863
18.935760,73.15872
18.935360,73.15884
18.934570,73.15913
18.934200,73.15927
18.933750,73.15948
18.933410,73.15964
18.932970,73.15987
18.932380,73.1602
18.931860,73.16052
18.931470,73.16079
18.931240,73.16097
18.930900,73.16124
18.930450,73.1616
18.930220,73.16181
18.930000,73.16202
18.929890,73.16213
18.929780,73.16224
18.929410,73.16259
18.928210,73.1638
18.927490,73.1645
18.926380,73.1654
18.926320,73.16545
18.925450,73.16611
18.924840,73.16662
18.924670,73.16678
18.924610,73.16684
18.924030,73.16749
18.923590,73.16799
18.923190,73.16846
18.922360,73.16947
18.921710,73.17026
18.921570,73.17046
18.921410,73.17066
18.921250,73.17084
18.921090,73.17102
18.920910,73.17121
18.920730,73.17138
18.920190,73.17192
18.919140,73.1729
18.918890,73.17315
18.916590,73.17576
18.914490,73.17818
18.912960,73.1799
18.911780,73.18142
18.911300,73.18206
18.911010,73.18249
18.910640,73.18303
18.910320,73.18355
18.910010,73.18408
18.909740,73.18458
18.909730,73.1846
18.909140,73.18574
18.908970,73.18607
18.908920,73.18617
18.908800,73.1864
18.908100,73.18769
18.907810,73.18823
18.907460,73.18886
18.906200,73.19117
18.905260,73.1929
18.902730,73.19752
18.902390,73.19813
18.901710,73.19938
18.901460,73.19984
18.901250,73.20021
18.900990,73.20064
18.900830,73.20088
18.900650,73.20112
18.900500,73.20131
18.900330,73.20151
18.900090,73.20175
18.899900,73.20193
18.899610,73.20218
18.899460,73.20229
18.899310,73.20239
18.898990,73.20259
18.898850,73.20267
18.898500,73.20285
18.898310,73.20293
18.897860,73.20311
18.897440,73.20326
18.896770,73.20347
18.896530,73.20356
18.895680,73.20382
18.895300,73.20395
18.894980,73.20407
18.894770,73.20416
18.894390,73.20433
18.894010,73.20451
18.893370,73.20487
18.891830,73.20576
18.890280,73.20664
18.888010,73.20794
18.885980,73.20907
18.884180,73.2101
18.884170,73.2101
18.883990,73.21021
18.881730,73.21151
18.880200,73.21239
18.877700,73.21382
18.877310,73.21405
18.877170,73.21413
18.877040,73.2142
18.875940,73.21483
18.872750,73.21664
18.871410,73.2174
18.870390,73.21798
18.867890,73.2194
18.867320,73.21973
18.865830,73.22057
18.865120,73.22098
18.863890,73.22169
18.863810,73.22173
18.863720,73.22178
18.863590,73.22186
18.862650,73.22241
18.862360,73.22258
18.860690,73.22353
18.860250,73.22377
18.859820,73.22402
18.859360,73.22428
18.856520,73.22588
18.855010,73.22674
18.854090,73.22727
18.853820,73.22742
18.853240,73.22775
18.852620,73.22811
18.850740,73.22917
18.850490,73.22932
18.850240,73.22946
18.849690,73.22977
18.849500,73.22988
18.849270,73.23001
18.848700,73.23035
18.848500,73.2305
18.848150,73.23075
18.847870,73.23099
18.847630,73.23121
18.847390,73.23147
18.847230,73.23164
18.846950,73.23198
18.846590,73.23244
18.845680,73.23367
18.845030,73.23454
18.844770,73.23488
18.843910,73.23611
18.843050,73.23734
18.842710,73.23781
18.842420,73.23818
18.841460,73.23938
18.841070,73.23987
18.840750,73.24026
18.840160,73.24094
18.839670,73.24153
18.839390,73.24188
18.839140,73.2422
18.838820,73.24263
18.838230,73.24342
18.838210,73.24344
18.838140,73.24353
18.838140,73.24354
18.837960,73.24378
18.837300,73.24467
18.834760,73.2481
18.834700,73.24819
18.833950,73.2492
18.833810,73.24939
18.833200,73.25021
18.832030,73.25177
18.831660,73.25229
18.831530,73.25248
18.831400,73.2527
18.831270,73.25294
18.831140,73.2532
18.830980,73.25356
18.830790,73.254
18.830250,73.25527
18.829700,73.25658
18.828700,73.25893
18.828100,73.26035
18.827860,73.26088
18.827700,73.26119
18.827540,73.2615
18.827330,73.26183
18.827140,73.26209
18.826960,73.26233
18.826860,73.26245
18.826680,73.26266
18.826460,73.26289
18.826310,73.26304
18.826100,73.26323
18.825850,73.26343
18.825520,73.26369
18.825250,73.26388
